id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
12290,B07W6RRV1T,NULL,"Lakanto, Sweetener Monkfruit Classic, 8.29 Ounce",KEHE-52,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12291,B07YFFNWR7,NULL,"Dechra Phycox Small Bites Soft Chews, Joint Supplement For Dogs (120ct)",KF-BIVF-MC7G,34,23,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12292,B016NPC51W,NULL,"Applaws Peel and Serve Cat Food in Broth 6 Flavor Variety Bundle, 2.12 Ounces Each (12 Pots Total) by Applaws Layers",KF-FTDS-05MF,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12293,B07RHTP5M9,NULL,"Swiffer WetJet Spray Mop Starter Kit for All Floor Types",KF-U9JR-P1TG,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12294,B004Z644N4,NULL,"Creative Science Wartsoff Wart Removal Ointment | 4 oz | Easily and Painlessly Remove Warts from Dogs, Cattle, Horses, and Goats",KG-T6TS-4767,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12295,B07L4Q3NVY,NULL,"Motul 107210 8100 X-Clean EFE 5W30 1 Liter",KG-UJWS-RFJO,0,0,60,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12296,B003VWU7IE,NULL,"Fruitables All Natural 7 Ounce Pumpkin Baked Crunchy Dog Treats, Variety Pack of 4",KH-XGS8-N4KA,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12297,B01M3U4LSE,NULL,"Taste of the Wild Dry Dog Food, Sierra Mountain with Lamb, 5 Pound Bag by Taste of the Wild",KI-I349-NI1A,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12298,B00CEIYKHU,NULL,"Irish Spring Deodorant Bath Bar Soap, Deep Action Scrub, with Scrubbing Beads, 3.75 Ounce Each, 3 Bar Pack (Pack of 4) 12 Bars Total",KI-OYHJ-DDPR,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12299,B00TYEXJ4M,NULL,"MicrocynAH Wound and Skin Care, 16-Ounce",KING-1,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12300,B008RSVJFW,NULL,"Alcolado Glacial Mentholated Splash Lotion -16oz",KK-TIOK-XW1C,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12301,B087BCPVRT,NULL,"Red Sea Reef Energy Plus 500ml (AB+) All in One Coral Food for Saltwater Aquarium Marine Reef Tanks | Food for Soft, LPS, SPS, and Non-Photosynthetic Corals",KL-93HC-MEW7,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12302,B08TBBS1T9,NULL,"Dial Kids 2-in-1 Body+Hair Wash, Fragrance Free, 24 fl oz (Pack of 4)",KL-RNVR-IXO6,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12303,B00QTQCMLE,NULL,"Redbarn All-Natural Bargain Bag Variety Pack of Premium Dog Chews - Grain-Free Dental Treats for All Breeds- Made in USA with No Artificial Ingredients - 2 lb. Bag",KM-1T0Y-8L4T,44,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12304,B09L93GT8Y,NULL,"Dove Men Body Wash Extra Fresh 1 Liter (33.8 Oz) - Pack of 2",KO-OF80-MLR5,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12305,B005LGYCUW,NULL,"Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz (Pack of 3)",KO-Z0M8-CJLG,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12306,B007IW4IG0,NULL,"Traditional Medicinals Organic Gas Relief Chamomile Mint Herbal Tea, Relieves Gas & Bloating, (Pack of 1) - 16 Tea Bags",KQ-13NJ-G04H,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12307,B01IA96JJS,NULL,"Secret Anti-Perspirant Deodorant Solid Powder Fresh 2.70 oz (Pack of 5)",KQ-GBV9-X2QG,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
